,year,metrodiv_title,county_name,CoC_Code,coc_name,Pop_Type,Pop_Size
1229,2017,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,331
1230,2018,Chicago-Naperville-Evanston,DuPage County,IL-514,DuPage County CoC,overall_homeless,295
1231,2009,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,445
1232,2010,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,445
1233,2011,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,444
1234,2012,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,431
1235,2013,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,451
1236,2014,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,405
1237,2015,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,388
1238,2016,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,355
1239,2017,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,360
1240,2018,Elgin,Kane County,IL-517,"Aurora, Elgin/Kane County CoC",overall_homeless,430
1241,2009,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,5101
1242,2010,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,5139
1243,2011,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,5476
1244,2012,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,5607
1245,2013,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,5881
1246,2014,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,5987
1247,2015,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,6492
1248,2016,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,6240
1249,2017,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,6135
1250,2018,Boston,Suffolk County,MA-500,Boston CoC,overall_homeless,6188
